FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\出水口边坡\出水口边坡-锚索测力计.xlsx
FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\右岸马延坡边坡\马延坡-锚索测力计.xlsx
DATA:DP-2BD,17,所有数据误差超限
DATA:DP-2BD,18,所有数据误差超限
DATA:DP-2BD,19,所有数据误差超限
DATA:DP-2BD,20,所有数据误差超限
DATA:DP-2BD,21,所有数据误差超限
DATA:DP-2BD,22,所有数据误差超限
DATA:DP-2BD,23,所有数据误差超限
DATA:DP-2BD,24,所有数据误差超限
DATA:DP-2BD,25,所有数据误差超限
DATA:DP-2BD,26,所有数据误差超限
DATA:DP-2BD,27,所有数据误差超限
DATA:DP-2BD,28,所有数据误差超限
DATA:DP-2BD,29,所有数据误差超限
DATA:DP-2BD,30,所有数据误差超限
DATA:DP-2BD,31,所有数据误差超限
DATA:DP-2BD,32,所有数据误差超限
DATA:DP-2BD,33,所有数据误差超限
DATA:DP-2BD,34,所有数据误差超限
DATA:DP-2BD,35,所有数据误差超限
DATA:DP-2BD,36,所有数据误差超限
DATA:DP-2BD,37,所有数据误差超限
DATA:DP-2BD,38,所有数据误差超限
DATA:DP-2BD,39,所有数据误差超限
DATA:DP-2BD,40,所有数据误差超限
DATA:DP-2BD,41,所有数据误差超限
DATA:DP-2BD,42,所有数据误差超限
DATA:DP-2BD,43,所有数据误差超限
DATA:DP-2BD,44,所有数据误差超限
DATA:DP-2BD,45,所有数据误差超限
DATA:DP-2BD,46,所有数据误差超限
DATA:DP-2BD,47,所有数据误差超限
DATA:DP-2BD,48,所有数据误差超限
DATA:DP-2BD,49,所有数据误差超限
DATA:DP-2BD,50,所有数据误差超限
DATA:DP-2BD,51,所有数据误差超限
DATA:DP-2BD,52,所有数据误差超限
DATA:DP-2BD,53,所有数据误差超限
DATA:DP-2BD,54,所有数据误差超限
DATA:DP-2BD,55,所有数据误差超限
DATA:DP-2BD,56,所有数据误差超限
DATA:DP-2BD,57,所有数据误差超限
DATA:DP-2BD,58,所有数据误差超限
DATA:DP-2BD,59,所有数据误差超限
DATA:DP-2BD,60,所有数据误差超限
DATA:DP-2BD,61,所有数据误差超限
DATA:DP-2BD,62,所有数据误差超限
DATA:DP-2BD,63,所有数据误差超限
DATA:DP-2BD,64,所有数据误差超限
DATA:DP-2BD,65,所有数据误差超限
DATA:DP-2BD,66,所有数据误差超限
DATA:DP-2BD,67,所有数据误差超限
DATA:DP-2BD,68,所有数据误差超限
DATA:DP-2BD,69,所有数据误差超限
DATA:DP-2BD,70,所有数据误差超限
DATA:DP-2BD,71,所有数据误差超限
DATA:DP-2BD,72,所有数据误差超限
DATA:DP-2BD,73,所有数据误差超限
DATA:DP-2BD,74,所有数据误差超限
DATA:DP-2BD,75,所有数据误差超限
DATA:DP-2BD,76,所有数据误差超限
DATA:DP-2BD,77,所有数据误差超限
DATA:DP-2BD,78,所有数据误差超限
DATA:DP-2BD,79,所有数据误差超限
DATA:DP-2BD,80,所有数据误差超限
DATA:DP-2BD,81,所有数据误差超限
DATA:DP-2BD,82,所有数据误差超限
DATA:DP-2BD,83,所有数据误差超限
DATA:DP-2BD,84,所有数据误差超限
DATA:DP-2BD,85,所有数据误差超限
DATA:DP-2BD,86,所有数据误差超限
DATA:DP-2BD,87,所有数据误差超限
DATA:DP-2BD,88,所有数据误差超限
DATA:DP-2BD,89,所有数据误差超限
DATA:DP-2BD,90,所有数据误差超限
DATA:DP-2BD,91,所有数据误差超限
DATA:DP-2BD,92,所有数据误差超限
DATA:DP-2BD,93,所有数据误差超限
DATA:DP-2BD,94,所有数据误差超限
DATA:DP-2BD,95,所有数据误差超限
DATA:DP-2BD,96,所有数据误差超限
DATA:DP-2BD,97,所有数据误差超限
DATA:DP-2BD,98,所有数据误差超限
DATA:DP-2BD,99,所有数据误差超限
DATA:DP-2BD,100,所有数据误差超限
DATA:DP-2BD,101,所有数据误差超限
DATA:DP-2BD,102,所有数据误差超限
DATA:DP-2BD,103,所有数据误差超限
DATA:DP-2BD,104,所有数据误差超限
DATA:DP-2BD,105,所有数据误差超限
DATA:DP-2BD,106,所有数据误差超限
DATA:DP-2BD,107,所有数据误差超限
DATA:DP-2BD,108,所有数据误差超限
DATA:DP-2BD,109,所有数据误差超限
DATA:DP-2BD,110,所有数据误差超限
DATA:DP-2BD,111,所有数据误差超限
DATA:DP-2BD,112,所有数据误差超限
