FILE:2017-03-13 08:41:06,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\大坝\大坝心墙\渗压计.xls
FILE:2017-03-13 08:43:14,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\大坝\大坝心墙\渗压计.xls
DATA:P2-1,201,数据误差超限
DATA:P2-1,202,数据误差超限
DATA:P2-1,203,数据误差超限
DATA:P2-1,204,数据误差超限
DATA:P2-1,205,数据误差超限
DATA:P2-1,206,数据误差超限
DATA:P2-1,207,数据误差超限
DATA:P2-1,208,数据误差超限
DATA:P2-1,209,数据误差超限
DATA:P2-1,210,数据误差超限
DATA:P2-1,211,数据误差超限
DATA:P2-1,212,数据误差超限
DATA:P2-1,213,数据误差超限
DATA:P2-1,214,数据误差超限
DATA:P2-1,215,数据误差超限
DATA:P2-1,216,数据误差超限
DATA:P2-1,217,数据误差超限
DATA:P2-1,218,数据误差超限
DATA:P2-1,219,数据误差超限
DATA:P2-1,220,数据误差超限
DATA:P2-1,221,数据误差超限
DATA:P2-1,222,数据误差超限
DATA:P2-1,223,数据误差超限
DATA:P2-1,224,数据误差超限
DATA:P2-1,225,数据误差超限
DATA:P2-1,226,数据误差超限
DATA:P2-1,227,数据误差超限
DATA:P2-1,228,数据误差超限
DATA:P2-1,229,数据误差超限
DATA:P2-1,230,数据误差超限
DATA:P2-1,231,数据误差超限
DATA:P2-1,232,数据误差超限
DATA:P2-1,233,数据误差超限
DATA:P2-1,234,数据误差超限
DATA:P2-1,235,数据误差超限
DATA:P2-1,236,数据误差超限
DATA:P2-1,237,数据误差超限
DATA:P2-1,238,数据误差超限
DATA:P2-1,239,数据误差超限
DATA:P2-1,240,数据误差超限
DATA:P2-1,241,数据误差超限
DATA:P2-1,242,数据误差超限
DATA:P2-1,243,数据误差超限
DATA:P2-1,244,数据误差超限
DATA:P2-1,245,数据误差超限
DATA:P2-1,246,数据误差超限
DATA:P2-1,247,数据误差超限
DATA:P2-1,248,数据误差超限
DATA:P2-2,34,数据误差超限
DATA:P2-2,35,数据误差超限
DATA:P2-2,36,数据误差超限
DATA:P2-2,37,数据误差超限
DATA:P2-2,38,数据误差超限
DATA:P2-2,39,数据误差超限
DATA:P2-2,40,数据误差超限
DATA:P2-2,41,数据误差超限
DATA:P2-2,42,数据误差超限
DATA:P2-2,43,数据误差超限
DATA:P2-2,44,数据误差超限
DATA:P2-2,45,数据误差超限
DATA:P2-2,46,数据误差超限
DATA:P2-2,47,数据误差超限
DATA:P2-2,48,数据误差超限
DATA:P2-2,49,数据误差超限
DATA:P2-2,50,数据误差超限
DATA:P2-2,51,数据误差超限
DATA:P2-2,52,数据误差超限
DATA:P2-2,53,数据误差超限
DATA:P2-2,54,数据误差超限
DATA:P2-2,55,数据误差超限
DATA:P2-2,56,数据误差超限
DATA:P2-2,57,数据误差超限
DATA:P2-2,58,数据误差超限
DATA:P2-2,59,数据误差超限
DATA:P2-2,60,数据误差超限
DATA:P2-2,61,数据误差超限
DATA:P2-2,68,数据误差超限
DATA:P2-2,69,数据误差超限
DATA:P2-2,70,数据误差超限
DATA:P2-2,71,数据误差超限
DATA:P2-2,72,数据误差超限
DATA:P2-2,73,数据误差超限
DATA:P2-2,74,数据误差超限
DATA:P2-2,75,数据误差超限
DATA:P2-2,76,数据误差超限
DATA:P2-2,77,数据误差超限
DATA:P2-2,78,数据误差超限
DATA:P2-2,79,数据误差超限
DATA:P2-2,80,数据误差超限
DATA:P2-2,81,数据误差超限
DATA:P2-2,82,数据误差超限
DATA:P2-2,83,数据误差超限
DATA:P2-2,84,数据误差超限
DATA:P2-2,85,数据误差超限
DATA:P2-2,86,数据误差超限
DATA:P2-2,87,数据误差超限
DATA:P2-2,88,数据误差超限
DATA:P2-2,89,数据误差超限
DATA:P2-2,90,数据误差超限
DATA:P2-2,91,数据误差超限
DATA:P2-2,92,数据误差超限
DATA:P2-2,93,数据误差超限
DATA:P2-2,94,数据误差超限
DATA:P2-2,95,数据误差超限
DATA:P2-2,96,数据误差超限
DATA:P2-2,97,数据误差超限
DATA:P2-2,98,数据误差超限
DATA:P2-2,106,数据误差超限
DATA:P2-2,107,数据误差超限
DATA:P2-2,108,数据误差超限
DATA:P2-2,109,数据误差超限
DATA:P2-2,110,数据误差超限
DATA:P2-2,111,数据误差超限
DATA:P2-2,120,数据误差超限
DATA:P2-2,121,数据误差超限
DATA:P2-2,122,数据误差超限
DATA:P2-2,127,数据误差超限
DATA:P2-2,134,数据误差超限
DATA:P2-2,135,数据误差超限
DATA:P2-2,136,数据误差超限
DATA:P2-2,137,数据误差超限
DATA:P2-2,138,数据误差超限
DATA:P2-2,147,数据误差超限
DATA:P2-2,148,数据误差超限
DATA:P2-2,149,数据误差超限
DATA:P2-2,150,数据误差超限
DATA:P2-2,151,数据误差超限
DATA:P2-2,158,数据误差超限
DATA:P2-2,159,数据误差超限
DATA:P2-2,160,数据误差超限
DATA:P2-2,161,数据误差超限
DATA:P2-2,162,数据误差超限
DATA:P2-2,163,数据误差超限
DATA:P2-2,164,数据误差超限
DATA:P2-2,165,数据误差超限
DATA:P2-2,166,数据误差超限
DATA:P2-2,167,数据误差超限
DATA:P2-2,172,数据误差超限
DATA:P2-2,173,数据误差超限
DATA:P2-2,174,数据误差超限
DATA:P2-2,176,数据误差超限
DATA:P2-2,177,数据误差超限
DATA:P2-2,178,数据误差超限
DATA:P2-2,179,数据误差超限
DATA:P2-2,180,数据误差超限
DATA:P2-2,181,数据误差超限
DATA:P2-2,182,数据误差超限
DATA:P2-2,183,数据误差超限
DATA:P2-2,184,数据误差超限
DATA:P2-2,185,数据误差超限
DATA:P2-2,186,数据误差超限
DATA:P2-2,187,数据误差超限
DATA:P2-2,188,数据误差超限
DATA:P2-2,189,数据误差超限
DATA:P2-2,190,数据误差超限
DATA:P2-2,191,数据误差超限
DATA:P2-2,192,数据误差超限
DATA:P2-2,193,数据误差超限
DATA:P2-2,194,数据误差超限
DATA:P2-2,195,数据误差超限
DATA:P2-2,196,数据误差超限
DATA:P2-2,197,数据误差超限
DATA:P2-2,198,数据误差超限
DATA:P2-2,199,数据误差超限
DATA:P2-2,200,数据误差超限
DATA:P2-2,201,数据误差超限
DATA:P2-2,202,数据误差超限
DATA:P2-2,203,数据误差超限
DATA:P2-2,204,数据误差超限
DATA:P2-2,205,数据误差超限
DATA:P2-2,206,数据误差超限
DATA:P2-2,207,数据误差超限
DATA:P2-2,208,数据误差超限
DATA:P2-2,209,数据误差超限
DATA:P2-2,210,数据误差超限
DATA:P2-2,211,数据误差超限
DATA:P2-2,212,数据误差超限
DATA:P2-2,213,数据误差超限
DATA:P2-2,214,数据误差超限
DATA:P2-2,215,数据误差超限
DATA:P2-2,216,数据误差超限
DATA:P2-2,217,数据误差超限
DATA:P2-2,218,数据误差超限
DATA:P2-2,219,数据误差超限
DATA:P2-2,220,数据误差超限
DATA:P2-2,221,数据误差超限
DATA:P2-2,222,数据误差超限
DATA:P2-2,223,数据误差超限
DATA:P2-2,224,数据误差超限
DATA:P2-2,225,数据误差超限
DATA:P2-2,226,数据误差超限
DATA:P2-2,227,数据误差超限
DATA:P2-2,228,数据误差超限
DATA:P2-2,229,数据误差超限
DATA:P2-2,230,数据误差超限
DATA:P2-2,231,数据误差超限
DATA:P2-2,232,数据误差超限
DATA:P2-2,233,数据误差超限
DATA:P2-2,234,数据误差超限
DATA:P2-2,235,数据误差超限
DATA:P2-2,236,数据误差超限
DATA:P2-2,237,数据误差超限
DATA:P2-2,238,数据误差超限
DATA:P2-2,239,数据误差超限
DATA:P2-2,240,数据误差超限
DATA:P2-2,241,数据误差超限
DATA:P2-2,242,数据误差超限
DATA:P2-2,243,数据误差超限
DATA:P2-2,244,数据误差超限
DATA:P2-2,245,数据误差超限
DATA:P2-2,246,数据误差超限
DATA:P2-2,247,数据误差超限
DATA:P2-2,248,数据误差超限
DATA:P2-2,249,数据误差超限
DATA:P2-3,52,数据误差超限
DATA:P2-3,53,数据误差超限
DATA:P2-3,54,数据误差超限
DATA:P2-3,55,数据误差超限
DATA:P2-3,56,数据误差超限
DATA:P2-3,57,数据误差超限
DATA:P2-3,58,数据误差超限
DATA:P2-3,59,数据误差超限
DATA:P2-3,60,数据误差超限
DATA:P2-3,61,数据误差超限
DATA:P2-3,62,数据误差超限
DATA:P2-3,63,数据误差超限
DATA:P2-3,64,数据误差超限
DATA:P2-3,65,数据误差超限
DATA:P2-3,66,数据误差超限
DATA:P2-3,67,数据误差超限
DATA:P2-3,68,数据误差超限
DATA:P2-3,69,数据误差超限
DATA:P2-3,70,数据误差超限
DATA:P2-3,71,数据误差超限
DATA:P2-3,72,数据误差超限
DATA:P2-3,73,数据误差超限
DATA:P2-3,74,数据误差超限
DATA:P2-3,75,数据误差超限
