FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\水位孔\水位孔（一期）.xlsx
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\水位孔\水位孔（二期）.xlsx
DATA:Pb2-2,342,Cell index must be >= 0
DATA:Pb2-2,343,Cell index must be >= 0
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\地下洞室\右岸地下厂房排水廊道\排水廊道-测压管.xlsx
DATA:UP2-29补,4,测值异常
DATA:UP2-30补,4,测值异常
DATA:UP2-31补,4,测值异常
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\地下洞室\右岸进厂交通洞\右岸交通洞-渗压计.xlsx
FILE:2016-11-25 09:06:17,D:\AWORK\向家坝\向家坝数据\空间公司上报的2016年9月月报及数据\2标段内观\左岸高边坡\左岸边坡-交通洞渗压计.xlsx
FILE:2016-11-25 09:23:40,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\水位孔\水位孔（一期）.xlsx
FILE:2016-11-25 09:23:40,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\水位孔\水位孔（二期）.xlsx
DATA:OH3-9,230,观测日期有误
DATA:OH3-9,231,观测日期有误
FILE:2016-11-25 09:23:40,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\测压管\测压管（一期）.xlsx
DATA:UP1-4,271,数据误差超限
DATA:UP1-4,272,数据误差超限
DATA:UP1-4,273,数据误差超限
DATA:UP1-4,274,数据误差超限
DATA:UP1-4,275,数据误差超限
DATA:UP1-4,276,数据误差超限
DATA:UP1-4,277,数据误差超限
DATA:UP1-4,278,数据误差超限
DATA:UP1-4,279,数据误差超限
DATA:UP1-4,280,数据误差超限
DATA:UP1-4,281,数据误差超限
DATA:UP1-12,318,数据误差超限
DATA:UP1-12,322,数据误差超限
DATA:UP1-12,323,数据误差超限
DATA:UP1-12,324,数据误差超限
DATA:UP1-12,325,数据误差超限
FILE:2016-11-25 09:23:40,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\测压管\测压管（二期）.xlsx
FILE:2016-11-25 09:23:40,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\渗压计\导流底孔渗压计.xlsx
FILE:2016-11-25 09:23:40,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\渗压计\渗压计（一期）.xlsx
FILE:2016-11-25 09:23:40,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\渗压计\渗压计（二期）-1(坝体、坝基).xlsx
FILE:2016-11-25 09:23:40,D:\AWORK\向家坝\向家坝数据\9月数据(2016.9)\9月数据\渗压计、测压管、水文孔、量水堰\渗压计\渗压计（二期）-2(坝基深孔).xlsx
DATA:PHS-12,430,观测日期有误
DATA:PHS-12,431,观测日期有误
